Reference sample	Sample	Species	Common name	Family taxon	Superkingdom	Kingdom	Phylum	Subphylum	Class	Superclass	Infraclass	Order
icCocSept1	icCocSept1	Coccinella septempunctata	seven spotted ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icCryMora2	icCryMora2	Cryptocephalus moraei	.	27439	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icElmAene2	icElmAene2	Elmis aenea	riffle beetle	186980	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icHalSede1	icHalSede1	Halyzia sedecimguttata	orange ladybird	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icHarAxyr1	icHarAxyr1	Harmonia axyridis	harlequin	7080	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icLagHirt1	icLagHirt1	Lagria hirta	.	7065	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icLeiSpin1	icLeiSpin1	Leistus spinibarbis	.	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icLepMacu1	icLepMacu1	Rutpela maculata	.	34667	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icLocCapr1	icLocCapr1	Lochmaea capreae	willow leaf beetle	27439	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icLocCrat2	icLocCrat2	Lochmaea crataegi	hawthorn leaf beetle	27439	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icMalBipu1	icMalBipu1	Malachius bipustulatus	common malachite beetle	186093	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icMelMelo1	icMelMelo1	Melolontha melolontha	cockchafer	7055	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icNebBrev1	icNebBrev1	Nebria brevicollis	.	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icNebSali1	icNebSali1	Nebria salina	.	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icOcyOlen1	icOcyOlen1	Ocypus olens	Devil's coach horse	29026	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icOphArdo1	icOphArdo1	Ophonus ardosiacus	.	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPhiCogn1	icPhiCogn1	Philonthus cognatus	rove beetle	29026	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPodAlpi1	icPodAlpi1	Podabrus alpinus	.	41097	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPolCerv1	icPolCerv1	Polydrusus cervinus	.	7042	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPteMadi1	icPteMadi1	Pterostichus madidus	black clock beetle	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPteMadi1	icPteMadi3	Pterostichus madidus	black clock beetle	41073	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
icPyrSerr1	icPyrSerr1	Pyrochroa serraticornis	red headed cardinal beetle	55098	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	.	Neoptera	Coleoptera
